Title,Address,Surface,Price (in zł),Rent
Apartament 3 pok Śródmieście Gdańsk garaż,"ul. Wałowa, Śródmieście, Gdańsk, pomorskie",72 m²,4100,800
Mieszkanie 2 pokojowe w centrum Gdańska,"ul. Robotnicza, Śródmieście, Gdańsk, pomorskie",56 m²,2500,600
| Nowoczesny apartament | faktura Vat |,"ul. Łąkowa, Śródmieście, Gdańsk, pomorskie","41,43 m²",3230,N/A
Mieszkanie - Gdańsk Stare Miasto,"ul. Chmielna, Śródmieście, Gdańsk, pomorskie",64 m²,7000,1
Gdańsk Śródmieście ul. Wałowa,"ul. Wałowa 17, Śródmieście, Gdańsk, pomorskie",44 m²,3900,1
Przytulny apartament w Scali,"ul. Łąkowa, Śródmieście, Gdańsk, pomorskie",37 m²,3400,N/A
Komfortowa mieszkanie 2 pokojowe w centrum Gdańska,"Śródmieście, Gdańsk, pomorskie",38 m²,2900,700
"Mieszkanie Gdańsk Śródmieście -nowe,ciche,garaż","Śródmieście, Gdańsk, pomorskie",60 m²,4600,N/A
Mieszkanie w klimatycznej kamienicy Gdańsk,"ul. św. Ducha, Śródmieście, Gdańsk, pomorskie",26 m²,1800,N/A
Klimatyczna kawalerka w sercu Gdańska,"ul. Minogi, Śródmieście, Gdańsk, pomorskie","33,5 m²",2300,500
Studio z dużą kuchnią - Centrum - Długoterminowo,"ul. Kowalska, Śródmieście, Gdańsk, pomorskie",33 m²,2200,600
Gdańsk Starówka / świetna lokalizacja / cisza,"ul. św. Ducha, Śródmieście, Gdańsk, pomorskie",41 m²,2800,623
"2 pokoje Szopy, Długie Ogrody","ul. Szopy, Śródmieście, Gdańsk, pomorskie",37 m²,2450,450
Apartament w centrum - siłownia/taras na dachu,"ul. Stępkarska, Śródmieście, Gdańsk, pomorskie",45 m²,2800,N/A
"85,5m2 Gdańsk Centrum 3 pokoje od 1 grudnia","Śródmieście, Gdańsk, pomorskie","85,5 m²",4500,1
Bezpośrednio wynajmę apartament ul.Długie Ogrody,"ul. Długie Ogrody 18, Śródmieście, Gdańsk, pomorskie",34 m²,2400,542
2 pokoje - ul. Mariacka,"ul. Mariacka, Śródmieście, Gdańsk, pomorskie",50 m²,2400,600
Mieszkanie w sercu Gdańska przy ul. Kowalskiej,"ul. Kowalska, Śródmieście, Gdańsk, pomorskie",36 m²,2350,600
"Mieszkanie, 70 m², Gdańsk","ul. Szafarnia, Śródmieście, Gdańsk, pomorskie",70 m²,4000,600
"Mieszkanie, 36 m², Gdańsk","ul. Długie Ogrody, Śródmieście, Gdańsk, pomorskie",36 m²,2900,600
Studio z garażem w River View,"ul. Angielska Grobla, Śródmieście, Gdańsk, pomorskie","37,9 m²",2600,N/A
2-pokojowe mieszkanie w Śródmieściu Garden Gates,"ul. Długie Ogrody, Śródmieście, Gdańsk, pomorskie","37,22 m²",2900,N/A
***2pokoje/Gdańsk Śródmieście/nowe budownictwo***,"Śródmieście, Gdańsk, pomorskie",59 m²,3000,N/A
Trzypokojowe mieszkanie w centrum Gdańska,"ul. Bednarska, Śródmieście, Gdańsk, pomorskie",68 m²,3500,1
Apartament na Starówce Kwartał Kamienic ! Okazja !,"ul. Tandeta, Śródmieście, Gdańsk, pomorskie",28 m²,2000,900
Wygodne 2 pok Bastion Wałowa Środmieście Gdańsk,"ul. Wałowa, Śródmieście, Gdańsk, pomorskie","33,46 m²",2800,500
Studio Apartament z Balkonem Kawalerka Nowoczesna,"ul. Żabi Kruk, Śródmieście, Gdańsk, pomorskie",28 m²,2600,290
Nowoczesne mieszkanie w sercu Gdańska,"ul. Łąkowa, Śródmieście, Gdańsk, pomorskie",36 m²,2700,500
Komfortowe mieszkanie w sercu Gdańska,"ul. Łąkowa, Śródmieście, Gdańsk, pomorskie",32 m²,3000,500
"Mieszkanie, 33 m², Gdańsk","Śródmieście, Gdańsk, pomorskie",33 m²,3000,300
Mieszkanie wysoki standard z parkingiem,"ul. Chmielna, Śródmieście, Gdańsk, pomorskie",42 m²,2900,600
Klimatyczne mieszkanie w sercu Gdańskiej starówki,"Scala Apartamenty, Śródmieście, Gdańsk, pomorskie",38 m²,2950,500
2pok Gdańsk centrum garaż Starówka wysoki standard,"ul. Rajska, Śródmieście, Gdańsk, pomorskie",60 m²,5500,850
2 pokoje do wynajęcia Gdańsk Starówka Scala,"ul. Łąkowa, Śródmieście, Gdańsk, pomorskie",38 m²,3500,500
Całoroczne Centrum jasne 2 pokoje parking w hali,"ul. Rybaki Górne, Śródmieście, Gdańsk, pomorskie",43 m²,3200,800
Willa Wintera apartament z widokiem na Motławę,"ul. Kotwiczników, Śródmieście, Gdańsk, pomorskie",41 m²,3100,N/A
